bounds,label,group,sample,peak_rss_KiB
signals,final,BenchmarkValidate,4,85416
signals,final,BenchmarkValidate,5,90544
signals,base,BenchmarkValidate,5,87364
signals,base,BenchmarkValidateWorkers,0,92864
signals,final,BenchmarkValidateWorkers,0,94932
signals,final,BenchmarkValidateWorkers,1,88836
signals,base,BenchmarkValidateWorkers,1,91400
signals,base,BenchmarkValidateWorkers,2,93152
signals,final,BenchmarkValidateWorkers,2,90740
signals,final,BenchmarkValidateWorkers,3,88776
signals,base,BenchmarkValidateWorkers,3,90096
signals,base,BenchmarkValidateWorkers,4,90688
signals,final,BenchmarkValidateWorkers,4,90416
signals,final,BenchmarkValidateWorkers,5,95572
signals,base,BenchmarkValidateWorkers,5,91540
signals,base,BenchmarkCompile,0,1639396
signals,final,BenchmarkCompile,0,1961944
signals,final,BenchmarkCompile,1,1931600
signals,base,BenchmarkCompile,1,1726512
signals,base,BenchmarkCompile,2,1641888
signals,final,BenchmarkCompile,2,1936688
signals,final,BenchmarkCompile,3,1919532
signals,base,BenchmarkCompile,3,1641248
signals,base,BenchmarkCompile,4,1632468
signals,final,BenchmarkCompile,4,1896996
signals,final,BenchmarkCompile,5,1925264
signals,base,BenchmarkCompile,5,1701528
signals,base,BenchmarkCompileWorkers,0,818684
signals,final,BenchmarkCompileWorkers,0,866512
signals,final,BenchmarkCompileWorkers,1,919732
signals,base,BenchmarkCompileWorkers,1,835708
signals,base,BenchmarkCompileWorkers,2,830232
signals,final,BenchmarkCompileWorkers,2,911444
signals,final,BenchmarkCompileWorkers,3,905804
signals,base,BenchmarkCompileWorkers,3,835764
signals,base,BenchmarkCompileWorkers,4,825544
signals,final,BenchmarkCompileWorkers,4,922440
signals,final,BenchmarkCompileWorkers,5,911980
signals,base,BenchmarkCompileWorkers,5,830624
signals,base,BenchmarkCompileFullOptimizationAblation,0,12268
signals,final,BenchmarkCompileFullOptimizationAblation,0,14672
signals,final,BenchmarkCompileFullOptimizationAblation,1,12968
signals,base,BenchmarkCompileFullOptimizationAblation,1,12660
signals,base,BenchmarkCompileFullOptimizationAblation,2,12396
signals,final,BenchmarkCompileFullOptimizationAblation,2,12884
signals,final,BenchmarkCompileFullOptimizationAblation,3,12564
signals,base,BenchmarkCompileFullOptimizationAblation,3,12516
signals,base,BenchmarkCompileFullOptimizationAblation,4,12540
signals,final,BenchmarkCompileFullOptimizationAblation,4,12500
signals,final,BenchmarkCompileFullOptimizationAblation,5,12660
signals,base,BenchmarkCompileFullOptimizationAblation,5,12620
signals,base,BenchmarkCompileFullWorkers,0,226184
signals,final,BenchmarkCompileFullWorkers,0,225372
signals,final,BenchmarkCompileFullWorkers,1,224616
signals,base,BenchmarkCompileFullWorkers,1,223144
signals,base,BenchmarkCompileFullWorkers,2,223900
signals,final,BenchmarkCompileFullWorkers,2,223412
signals,final,BenchmarkCompileFullWorkers,3,227720
signals,base,BenchmarkCompileFullWorkers,3,225504
signals,base,BenchmarkCompileFullWorkers,4,224524
signals,final,BenchmarkCompileFullWorkers,4,226168
signals,final,BenchmarkCompileFullWorkers,5,225624
signals,base,BenchmarkCompileFullWorkers,5,223900
signals,base,BenchmarkCompileMultiModuleThroughput,0,178724
signals,final,BenchmarkCompileMultiModuleThroughput,0,181432
signals,final,BenchmarkCompileMultiModuleThroughput,1,182692
signals,base,BenchmarkCompileMultiModuleThroughput,1,188788
signals,base,BenchmarkCompileMultiModuleThroughput,2,189080
signals,final,BenchmarkCompileMultiModuleThroughput,2,183980
signals,final,BenchmarkCompileMultiModuleThroughput,3,176952
signals,base,BenchmarkCompileMultiModuleThroughput,3,184820
signals,base,BenchmarkCompileMultiModuleThroughput,4,187428
signals,final,BenchmarkCompileMultiModuleThroughput,4,185016
signals,final,BenchmarkCompileMultiModuleThroughput,5,183904
signals,base,BenchmarkCompileMultiModuleThroughput,5,175668
signals,base,BenchmarkInstantiate,0,80704
signals,final,BenchmarkInstantiate,0,80064
signals,final,BenchmarkInstantiate,1,82444
signals,base,BenchmarkInstantiate,1,80384
signals,base,BenchmarkInstantiate,2,78876
signals,final,BenchmarkInstantiate,2,79752
signals,final,BenchmarkInstantiate,3,80284
