run,bounds,benchmark,version,unit,main_median,after_median,absolute_change,change_percent,p,prior_PR_median,change_vs_prior_percent,p_vs_prior,samples_each,note
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,before,allocs/call,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/coremark.coremark_run,final,allocs/call,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,before,ns/op,32156.5,32102.5,-54,-0.16792872358620814,0.9372294372294372,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,final,ns/op,32156.5,32525.5,369,1.1475129445057686,0.3939393939393939,32102.5,1.3176543882875258,0.09307359307359307,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,before,calls/batch,63.5,63.5,0,0,0.8701298701298701,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,final,calls/batch,63.5,63,-0.5,-0.7874015748031482,0.8268398268398268,63.5,-0.7874015748031482,0.9783549783549783,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,before,B/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,final,B/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,before,allocs/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,final,allocs/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,before,B/call,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,final,B/call,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,before,allocs/call,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/isa_f32.min,final,allocs/call,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,before,ns/op,8.276499999999999,8.792,0.5155000000000012,6.228478221470435,0.0021645021645021645,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,final,ns/op,8.276499999999999,8.5545,0.27800000000000225,3.3589077508608955,0.015151515151515152,8.792,-2.7013193812556735,0.06493506493506493,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,before,calls/batch,251092,238910,-12182,-4.8516081754894635,0.004329004329004329,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,final,calls/batch,251092,244769.5,-6322.5,-2.5180013700157766,0.13203463203463203,238910,2.452597212339369,0.17965367965367965,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,before,B/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,final,B/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,before,allocs/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,final,allocs/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,before,B/call,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,final,B/call,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,before,allocs/call,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExec/tiny.add,final,allocs/call,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,before,ns/op,50.495000000000005,46.614999999999995,-3.8800000000000097,-7.683929101891296,0.025974025974025976,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,final,ns/op,50.495000000000005,47.019999999999996,-3.4750000000000085,-6.881869492028924,0.13203463203463203,46.614999999999995,0.8688190496621395,0.8181818181818182,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,before,B/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,final,B/op,0,0,0,0,1,0,0,1,6,250 ms requested timing; batched allocation counters need per-call interpretation.
timed-explicit,explicit,BenchmarkExecParallel/process/isa_bulk_mem.copy_fwd_64,before,allocs/op,0,0,0,0,1,,,,6,250 ms requested timing; batched allocation counters need per-call interpretation.
