goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/src/core/runtime/gc/native
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
BenchmarkGCStructCardScan/fields=256/ranges=1/unordered=true                 	 1000000	       236.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=false                	  522409	       457.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=256/ranges=2/unordered=true                 	  519817	       457.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=false               	   61278	      3975 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=1/unordered=true                	   61327	      3912 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=false               	   30943	      7864 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=2/unordered=true                	   30618	      7818 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=false               	   15262	     15693 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=4/unordered=true                	   15157	     16901 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=false               	    7225	     34286 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=8/unordered=true                	    7059	     34541 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=false              	    3726	     64878 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=15/unordered=true               	    3733	     64924 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=false              	    6349	     38029 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=16/unordered=true               	    7294	     37597 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=false              	    5678	     44989 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=32/unordered=true               	    5167	     43836 ns/op	       0 B/op	       0 allocs/op
BenchmarkGCStructCardScan/fields=8192/ranges=33/unordered=false              	    1848	    130342 ns/op	       0 B/op	       0 allocs/op
