bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompile/isa_mem	allocs/op	32	32	0	1	6	6	paired
explicit	BenchmarkCompile/isa_bulk_mem	ns/op	30630.5	26971	-11.947242127944369	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_bulk_mem	B/op	11224	10808	-3.706343549536706	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_bulk_mem	allocs/op	34	34	0	1	6	6	paired
explicit	BenchmarkCompile/isa_ctl	ns/op	90085.5	72989.5	-18.977526904995813	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_ctl	B/op	59072	59056	-0.027085590465869558	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_ctl	allocs/op	37	37	0	1	6	6	paired
explicit	BenchmarkCompile/isa_call	ns/op	33598.5	26807	-20.213700016369774	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_call	B/op	27928	27928	0	1	6	6	paired
explicit	BenchmarkCompile/isa_call	allocs/op	68	68	0	1	6	6	paired
explicit	BenchmarkCompile/isa_var	ns/op	23739	18328.5	-22.791608745102998	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_var	B/op	23104	22336	-3.3240997229916913	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_var	allocs/op	32	32	0	1	6	6	paired
explicit	BenchmarkCompile/isa_cvt	ns/op	67387.5	52567	-21.992951214987944	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_cvt	B/op	20552	17832	-13.23472168158817	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_cvt	allocs/op	30	30	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_v128	ns/op	67801.5	53863	-20.55780476833109	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_v128	B/op	26592	26576	-0.06016847172082285	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_v128	allocs/op	34	34	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i8x16	ns/op	293707.5	226216.5	-22.978984193457773	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i8x16	B/op	29872	22832	-23.567220139260847	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i8x16	allocs/op	37	37	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i16x8	ns/op	382662.5	306042	-20.02299676607977	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i16x8	B/op	28520	22248	-21.991584852734924	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i16x8	allocs/op	29	29	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i32x4	ns/op	365606.5	285892.5	-21.80322286392611	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i32x4	B/op	28384	22112	-22.096956031567082	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i32x4	allocs/op	30	30	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_i64x2	ns/op	220175	178081.5	-19.118201430680138	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i64x2	B/op	26920	20712	-23.06092124814264	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_i64x2	allocs/op	27	27	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_f32x4	ns/op	222718.5	177427	-20.3357601636146	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_f32x4	B/op	27152	20944	-22.86387743076016	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_f32x4	allocs/op	29	29	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_f64x2	ns/op	223663.5	177618.5	-20.586729618377607	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_f64x2	B/op	27104	20896	-22.904368358913818	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_f64x2	allocs/op	28	28	0	1	6	6	paired
explicit	BenchmarkCompile/isa_simd_reduce	ns/op	73158	58581	-19.925367013860406	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_reduce	B/op	25792	22944	-11.042183622828784	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompile/isa_simd_reduce	allocs/op	31	31	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	ns/op	483971	341123	-29.515818096538837	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	code-B	11933	11933	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	B/op	152017	151907.5	-0.07203141753883147	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	allocs/op	216	214	-0.92592592592593	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	ns/op	504170	352641.5	-30.055040958406888	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	code-B	11341	11341	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	B/op	151956	151864.5	-0.060214799020774645	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	allocs/op	216	214	-0.92592592592593	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	ns/op	1666620.5	1109305.5	-33.43982628318805	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	code-B	41242	41242	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	B/op	297418.5	297721.5	0.10187664856087242	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	allocs/op	248	249	0.40322580645162365	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	ns/op	1644300	1121135.5	-31.81685215593262	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	code-B	40602	40602	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	B/op	297418	297720	0.10154059270117699	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	allocs/op	248	249	0.40322580645162365	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	ns/op	99313748.5	70468211.5	-29.044857772134137	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	code-B	3657033	3657033	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	B/op	4330744	4341100	0.2391275032650242	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	allocs/op	7913	7917	0.05054972829521276	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	ns/op	99992966	69480879	-30.514233371175326	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	code-B	3648553	3648553	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	B/op	4330744	4341100	0.2391275032650242	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	allocs/op	7913	7917	0.05054972829521276	0.006493506493506494	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	ns/op	690519520	458433780	-33.61030836608355	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	code-B	26630768	26630768	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	B/op	83044328	82972912	-0.08599744464184989	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/off	allocs/op	19631.5	19631	-0.0025469271324185527	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	ns/op	693198884	462770966	-33.24124191752161	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	code-B	26629248	26629248	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	B/op	83044328	82972928	-0.0859781778232982	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/esbuild/on	allocs/op	19631.5	19632	0.0025469271324185527	1	6	6	paired
explicit	BenchmarkCompileCompact/tiny	ns/op	14619	14005	-4.20001368082632	0.17965367965367965	6	6	paired
explicit	BenchmarkCompileCompact/tiny	B/op	10720.5	10712.5	-0.07462338510331179	0.21861471861471862	6	6	paired
explicit	BenchmarkCompileCompact/tiny	allocs/op	27	27	0	1	6	6	paired
explicit	BenchmarkCompileCompact/fib_iter	ns/op	14790	14304.5	-3.282623394185258	0.025974025974025976	6	6	paired
explicit	BenchmarkCompileCompact/fib_iter	B/op	13397	12822	-4.292005672911847	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/fib_iter	allocs/op	28	28	0	1	6	6	paired
explicit	BenchmarkCompileCompact/fib_rec	ns/op	15532	14952	-3.7342261138295085	0.17965367965367965	6	6	paired
explicit	BenchmarkCompileCompact/fib_rec	B/op	13317	12828.5	-3.6682435984080497	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/fib_rec	allocs/op	37	37	0	1	6	6	paired
explicit	BenchmarkCompileCompact/arith	ns/op	16046.5	14737.5	-8.157542143146479	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/arith	B/op	27657	12912	-53.31380843909318	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/arith	allocs/op	27	27	0	1	6	6	paired
explicit	BenchmarkCompileCompact/float	ns/op	16437	15473.5	-5.861775263125879	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/float	B/op	28120	13509	-51.95945945945945	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/float	allocs/op	41	41	0	1	6	6	paired
explicit	BenchmarkCompileCompact/memory	ns/op	20171	19214	-4.744435080065445	0.004329004329004329	6	6	paired
explicit	BenchmarkCompileCompact/memory	B/op	13632	13008	-4.577464788732399	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/memory	allocs/op	34	34	0	1	6	6	paired
explicit	BenchmarkCompileCompact/memory_tree	ns/op	26778	24068.5	-10.11838076032564	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/memory_tree	B/op	28515.5	17198	-39.68894110220758	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/memory_tree	allocs/op	51	51	0	1	6	6	paired
explicit	BenchmarkCompileCompact/globals	ns/op	17212	16716	-2.88171043458052	0.04112554112554113	6	6	paired
explicit	BenchmarkCompileCompact/globals	B/op	13265	12336	-7.0033923859781355	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/globals	allocs/op	37	37	0	1	6	6	paired
explicit	BenchmarkCompileCompact/dispatch	ns/op	22589.5	21806.5	-3.4662121782243926	0.17965367965367965	6	6	paired
explicit	BenchmarkCompileCompact/dispatch	B/op	11352	11336	-0.14094432699084392	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/dispatch	allocs/op	44	44	0	1	6	6	paired
explicit	BenchmarkCompileCompact/branches	ns/op	14772.5	13755	-6.887798273819601	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/branches	B/op	13296	12272	-7.701564380264736	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/branches	allocs/op	26	26	0	1	6	6	paired
explicit	BenchmarkCompileCompact/many_funcs	ns/op	340192.5	316734	-6.895654666108165	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/many_funcs	B/op	53312	53056	-0.4801920768307322	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/many_funcs	allocs/op	40	40	0	1	6	6	paired
explicit	BenchmarkCompileCompact/linked_list	ns/op	19666	18587.5	-5.484084206244278	0.015151515151515152	6	6	paired
explicit	BenchmarkCompileCompact/linked_list	B/op	16856	14936	-11.390602752728995	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/linked_list	allocs/op	38	38	0	1	6	6	paired
explicit	BenchmarkCompileCompact/mandelbrot	ns/op	23265	21164.5	-9.028583709434779	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/mandelbrot	B/op	30304	22112	-27.03273495248152	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCompact/mandelbrot	allocs/op	58	58	0	1	6	6	paired
