stage,bounds,benchmark,engine,kind,unit,main_median,branch_median,absolute_increase,increase_percent,p,unadjusted_p_below_005,samples_each,benchtime,note
full screen,explicit,BenchmarkWazeroExec/json-as-simd.deserializeN,wazero,time,ns/op,74982.5,75844,861.5,1.148934751441999,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_i32.mul,wazero,time,ns/op,39150.5,40002,851.5,2.174940294504535,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/fannkuch.run,wazero,time,ns/op,1347913,1348749,836,0.062021807045420374,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/sieve,wazero,time,ns/op,83716,84551,835,0.9974198480577234,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/matmul,wazero,time,ns/op,315867.5,316695.5,828,0.26213523075340195,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_cvt.f32_convert_s,wazero,time,ns/op,84252,85067,815,0.9673360869771663,0.30952380952380953,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/quicksort.sortN,wazero,time,ns/op,181286.5,182089.5,803,0.442945282743068,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/blake3,wazero,time,ns/op,48320.5,49088.5,768,1.589387527033037,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkExecFibRec_wazero,wazero,time,ns/op,482787,483476,689,0.14271303908348631,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/fib_rec.fib,wazero,time,ns/op,2013963,2014632.5,669.5,0.03324291459176898,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/swar-pack-parse,wazero,time,ns/op,82395,83064,669,0.8119424722373925,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_mem,wazero,time,ns/op,419755,420364.5,609.5,0.14520374980644402,0.8181818181818182,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_var,wazero,time,ns/op,87917.5,88494.5,577,0.656297096709979,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/json-as-simd.serializeN,wazero,time,ns/op,37928.5,38480.5,552,1.4553699724481506,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_f32.mul,wazero,time,ns/op,38891,39435,544,1.3987812090200835,0.09307359307359307,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_cvt.f64_convert_u,wazero,time,ns/op,85416.5,85922,505.5,0.5918060327922525,0.17965367965367965,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroCompile/fib_iter,wazero,time,ns/op,52548,53051.5,503.5,0.9581715764634291,0.48484848484848486,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/isa_bulk_mem,wazero,time,ns/op,228175.5,228674.5,499,0.2186913143610969,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroCompile/globals,wazero,time,ns/op,63090,63569,479,0.7592328419717909,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_f32.add,wazero,time,ns/op,38864.5,39323.5,459,1.181026386548134,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_call.call_indirect,wazero,time,ns/op,70955.5,71387.5,432,0.6088322962983783,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_mem.load_i32_stride,wazero,time,ns/op,10965.5,11366,400.5,3.6523642332771056,0.5887445887445888,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroInstantiate/lz4,wazero,time,ns/op,86030,86385,355,0.4126467511333276,1,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_i64.div_s,wazero,time,ns/op,162530.5,162873.5,343,0.21103731299663142,0.6147186147186147,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_f32.neg,wazero,time,ns/op,39135.5,39455,319.5,0.8163943222905035,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroInstantiate/json-as-simd,wazero,time,ns/op,14455,14754,299,2.0684884123140845,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,signals,BenchmarkWazeroExec/isa_mem.store_i32_stride,wazero,time,ns/op,9494.5,9784,289.5,3.0491337089894044,0.3939393939393939,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i64x2.extmul_high_s,wazero,time,ns/op,18292,18577.5,285.5,1.5607916028865132,0.9372294372294372,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_simd_i32x4.trunc_sat_f32x4_u,wazero,time,ns/op,9939,10220,281,2.8272462018311684,0.17965367965367965,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
full screen,explicit,BenchmarkWazeroExec/isa_cvt.reinterpret_f64,wazero,time,ns/op,58337,58616.5,279.5,0.47911274148482175,0.24025974025974026,false,6,100ms,Measured increase; p-values are not adjusted for multiple comparisons.
