run,bounds,benchmark,unit,main_median,after_median,change_percent,p,samples_each,benchtime,note
fixed-rss-explicit,explicit,BenchmarkCompileCompact/branches,B/op,13296,12272,-7.701564380264736,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/branches,allocs/op,26,26,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/many_funcs,ns/op,376337.5,351568,-6.581725180190656,0.09307359307359307,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/many_funcs,B/op,53320,53064,-0.4801200300075026,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/many_funcs,allocs/op,40,40,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/linked_list,ns/op,50285.5,46212,-8.100744747491817,0.48484848484848486,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/linked_list,B/op,16864,14944,-11.38519924098672,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/linked_list,allocs/op,38,38,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/mandelbrot,ns/op,53922.5,49873.5,-7.508924845843568,0.2878787878787879,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/mandelbrot,B/op,30304,22112,-27.03273495248152,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/mandelbrot,allocs/op,58,58,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/sieve,ns/op,55791,47299.5,-15.220196805936437,0.3939393939393939,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/sieve,B/op,20976,17648,-15.86575133485889,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/sieve,allocs/op,39,39,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/nbody,ns/op,133154.5,115594.5,-13.187687986511909,0.004329004329004329,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/nbody,B/op,74208,74208,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/nbody,allocs/op,92,92,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/spectralnorm,ns/op,111782,110118.5,-1.4881644629725743,0.6991341991341992,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/spectralnorm,B/op,64040,64040,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/spectralnorm,allocs/op,81,81,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/fannkuch,ns/op,180608.5,151380,-16.183346852446036,0.04112554112554113,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/fannkuch,B/op,69344,69344,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/fannkuch,allocs/op,71,71,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/matmul,ns/op,107869.5,99407.5,-7.844664154371717,0.04112554112554113,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/matmul,B/op,64872,64872,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/matmul,allocs/op,78,78,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/quicksort,ns/op,112108,91747.5,-18.161504977343277,0.008658008658008658,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/quicksort,B/op,30072,30072,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/quicksort,allocs/op,72,72,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/crc32,ns/op,80565,63606,-21.05008378328058,0.06493506493506493,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/crc32,B/op,28640,28640,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/crc32,allocs/op,47,47,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/sha256,ns/op,150047.5,140449,-6.396974291474367,0.5887445887445888,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/sha256,B/op,65992,65992,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/sha256,allocs/op,57,57,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/raytrace,ns/op,271344.5,243524,-10.252833575031007,0.24025974025974026,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/raytrace,B/op,145888,145888,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/raytrace,allocs/op,119,119,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/regexmatch,ns/op,50264175,43422471.5,-13.611490688944961,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/regexmatch,B/op,1397368,1395400,-0.14083620062861346,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/regexmatch,allocs/op,1947,1949,0.10272213662043672,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/wasm3,ns/op,12849452.5,11431919,-11.031859139523647,0.008658008658008658,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/wasm3,B/op,505584,502952,-0.5205860944966667,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/wasm3,allocs/op,837,839,0.2389486260454099,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/json-as,ns/op,1456737.5,1356119,-6.907112640403645,0.24025974025974026,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/json-as,B/op,136288,136832,0.3991547311575472,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/json-as,allocs/op,148,148,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/blake-as,ns/op,523876.5,365772,-30.179727473937078,0.004329004329004329,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/blake-as,B/op,133864,133664,-0.14940536664076465,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/blake-as,allocs/op,97,93,-4.123711340206182,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/utf-as,ns/op,285202,184792,-35.20662547948472,0.025974025974025976,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/utf-as,B/op,121960,121944,-0.013119055428012505,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/utf-as,allocs/op,73,73,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,ns/op,86091.5,75109,-12.756776220648957,0.3939393939393939,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,B/op,28608,17088,-40.26845637583892,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/xjb-mulhi,allocs/op,32,32,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,ns/op,74984,65470,-12.688040115224586,0.13203463203463203,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,B/op,26264,14744,-43.862321047822114,0.0021645021645021645,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/swar-pack-parse,allocs/op,29,29,0,1,6,1x,"memory check, not a timing claim"
fixed-rss-explicit,explicit,BenchmarkCompileCompact/json-as-simd,ns/op,1552059,1401420,-9.705752165349379,0.06493506493506493,6,1x,"memory check, not a timing claim"
