run,bounds,benchmark,unit,main,after,absolute_change,change_percent,p,samples_each
"full","signals","BenchmarkCompileFull/isa_simd_i64x2","allocs/op",133,135,2,1.5037593984962516,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_simd_f32x4","allocs/op",139,141,2,1.4388489208633004,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_simd_f64x2","allocs/op",138,140,2,1.449275362318847,0.0021645021645021645,6
"full","signals","BenchmarkCompileFull/isa_simd_reduce","allocs/op",107,109,2,1.869158878504673,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/tiny/p1","allocs/op",74,76,2,2.7027027027026973,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/tiny/auto","allocs/op",74,76,2,2.7027027027026973,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/fib_rec/p1","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/fib_rec/p2","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/fib_rec/p4","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/fib_rec/p8","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/fib_rec/auto","allocs/op",82,84,2,2.4390243902439046,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/json-as/p1","allocs/op",403,405,2,0.496277915632759,0.0021645021645021645,6
"full","signals","BenchmarkCompileFullWorkers/lua/p1","allocs/op",2528,2530,2,0.07911392405062223,0.0021645021645021645,6
"full","signals","BenchmarkCompileMultiModuleThroughput/many_funcs/p1","allocs/op",83,85,2,2.4096385542168752,0.0021645021645021645,6
