bounds	benchmark	unit	main	fixed	delta_percent	p
signals	BenchmarkCompileFull/memory_tree	allocs/op	111	113	1.8018018018018056	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/lua/auto	allocs/op	3268	3326.5	1.790085679314557	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/lua/p4	allocs/op	3303.5	3362.5	1.7859845618283687	0.0021645021645021645
explicit	BenchmarkCompileFull/memory_tree	allocs/op	112	114	1.7857142857142794	0.0021645021645021645
signals	BenchmarkValidateWorkers/esbuild/p8	B/op	5581401	5680635	1.7779406998350344	0.24025974025974026
explicit	BenchmarkCompileFull/isa_mem	allocs/op	113	115	1.7699115044247815	0.0021645021645021645
signals	BenchmarkCompileWorkers/sqlite3/p4	allocs/op	3554	3616	1.7445132245357264	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p2	allocs/op	115	117	1.7391304347825987	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p2	allocs/op	115	117	1.7391304347825987	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/lua/p4	allocs/op	3270.5	3327	1.7275645925699523	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_ctl	allocs/op	117	119	1.7094017094017033	0.0021645021645021645
signals	BenchmarkCompileFull/isa_ctl	allocs/op	117	119	1.7094017094017033	0.0021645021645021645
explicit	BenchmarkCompileFull/dispatch	allocs/op	119	121	1.680672268907557	0.0021645021645021645
signals	BenchmarkCompileFull/dispatch	allocs/op	119	121	1.680672268907557	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p2	allocs/op	14928	15175	1.6546087888531513	0.30952380952380953
explicit	BenchmarkCompileWorkers/sqlite3/p4	allocs/op	3561.5	3620	1.6425663344096675	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p8	B/op	831287	844858	1.632528837814129	0.0021645021645021645
explicit	BenchmarkCompileWorkers/esbuild/p8	B/op	130330520	132453742	1.6291057535871012	0.13203463203463203
signals	BenchmarkValidateWorkers/ruby/p8	B/op	665390	676144	1.6161950134507608	0.48484848484848486
explicit	BenchmarkCompileFullWorkers/many_funcs/p1	B/op	158883.5	161378.5	1.570332979824851	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p1	B/op	158884	161379	1.570328038065516	0.0021645021645021645
signals	BenchmarkCompileFull/many_funcs	B/op	159026	161521	1.5689258360268132	0.0021645021645021645
explicit	BenchmarkCompileFull/many_funcs	B/op	159026	161520	1.5682970080364234	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	B/op	158925	161415.5	1.567091395312259	0.0021645021645021645
signals	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	B/op	158930.5	161415.5	1.5635765318802841	0.0021645021645021645
signals	BenchmarkCompileWorkers/sqlite3/p2	allocs/op	2920.5	2966	1.5579524054100347	0.04112554112554113
explicit	BenchmarkCompileFull/isa_f32	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_f64	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
signals	BenchmarkCompileFull/crc32	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
signals	BenchmarkCompileFull/isa_f32	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
signals	BenchmarkCompileFull/isa_f64	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
explicit	BenchmarkCompileFull/crc32	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_i64x2	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/many_funcs/auto	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i64x2	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
signals	BenchmarkCompileMultiModuleThroughput/many_funcs/auto	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_i32	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_i64	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
signals	BenchmarkCompileFull/isa_i32	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
signals	BenchmarkCompileFull/isa_i64	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p8	B/op	747762	758754.5	1.4700533057309784	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_f64x2	allocs/op	138	140	1.449275362318847	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_f64x2	allocs/op	138	140	1.449275362318847	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_f32x4	allocs/op	139	141	1.4388489208633004	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_f32x4	allocs/op	139	141	1.4388489208633004	0.0021645021645021645
signals	BenchmarkPluginInstantiate/ruby	allocs/op	10027	10170	1.4261493966291061	1
explicit	BenchmarkValidateWorkers/ruby/p4	B/op	519135.5	526460	1.4109033190756515	0.9372294372294372
signals	BenchmarkCompileFull/spectralnorm	allocs/op	143	145	1.3986013986013957	0.0021645021645021645
signals	BenchmarkCompileFull/matmul	allocs/op	143	145	1.3986013986013957	0.0021645021645021645
signals	BenchmarkCompileFull/nbody	allocs/op	144	146	1.388888888888884	0.0021645021645021645
explicit	BenchmarkCompileWorkers/ruby/p8	allocs/op	14302.5	14500	1.3808774689739511	0.0021645021645021645
explicit	BenchmarkCompileFull/matmul	allocs/op	146	148	1.3698630136986356	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/p8	B/op	878265.5	890233	1.3626289544562464	0.0021645021645021645
explicit	BenchmarkCompileFull/spectralnorm	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p4	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/auto	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
signals	BenchmarkCompileFull/utf-as	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p4	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/auto	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
signals	BenchmarkCompileWorkers/ruby/p8	allocs/op	14256.5	14450	1.3572756286606147	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_call	allocs/op	148	150	1.3513513513513598	0.0021645021645021645
signals	BenchmarkCompileFull/lz4	allocs/op	148	150	1.3513513513513598	0.0021645021645021645
signals	BenchmarkCompileFull/isa_call	allocs/op	148	150	1.3513513513513598	0.0021645021645021645
signals	BenchmarkPluginInstantiate/ruby	B/op	320854	325174.5	1.3465626110318096	1
signals	BenchmarkCompileFull/sha256	allocs/op	149	151	1.342281879194629	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p4	B/op	631448	639850	1.3305925428538812	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/sqlite3/p8	allocs/op	9800	9930	1.3265306122449028	0.0021645021645021645
explicit	BenchmarkCompileFull/nbody	allocs/op	151	153	1.324503311258285	0.0021645021645021645
explicit	BenchmarkCompileFull/lz4	allocs/op	153	155	1.3071895424836555	0.0021645021645021645
explicit	BenchmarkCompileFull/sha256	allocs/op	154	156	1.298701298701288	0.0021645021645021645
explicit	BenchmarkCompileFull/utf-as	allocs/op	154	156	1.298701298701288	0.0021645021645021645
signals	BenchmarkCompileFull/fannkuch	allocs/op	158	160	1.2658227848101333	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/sqlite3/p8	allocs/op	9965.5	10090.5	1.2543274296322293	0.0021645021645021645
explicit	BenchmarkCompileFull/fannkuch	allocs/op	163	165	1.2269938650306678	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_i8x16	allocs/op	163	165	1.2269938650306678	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i8x16	allocs/op	163	165	1.2269938650306678	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/auto	B/op	661086	669170.5	1.2229119963212076	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p4	B/op	551266	557981	1.2181052341337928	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_i32x4	allocs/op	170	172	1.17647058823529	0.0021645021645021645
signals	BenchmarkCompileFull/quicksort	allocs/op	170	172	1.17647058823529	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i32x4	allocs/op	170	172	1.17647058823529	0.0021645021645021645
explicit	BenchmarkCompileWorkers/json-as/p8	B/op	749577	758366.5	1.1725946767310091	0.0021645021645021645
explicit	BenchmarkValidateWorkers/esbuild/p4	B/op	4277523	4327246	1.1624250763818234	0.8181818181818182
signals	BenchmarkCompileMultiModuleThroughput/json-as/auto	B/op	632218	639553	1.1602010698841259	0.0021645021645021645
explicit	BenchmarkCompileFull/quicksort	allocs/op	174	176	1.1494252873563315	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p4	B/op	121733516	123129176	1.1464878743829177	0.17965367965367965
explicit	BenchmarkCompileFull/isa_simd_i16x8	allocs/op	175	177	1.1428571428571344	0.0021645021645021645
signals	BenchmarkCompileFull/raytrace	allocs/op	175	177	1.1428571428571344	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i16x8	allocs/op	175	177	1.1428571428571344	0.0021645021645021645
explicit	BenchmarkCompileWorkers/json-as/p4	B/op	550975.5	557188.5	1.127636346806704	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/esbuild/p8	allocs/op	33752	34130	1.1199336335624643	0.8181818181818182
explicit	BenchmarkCompileFullWorkers/esbuild/p4	B/op	185537172	187606060	1.1150800552247375	0.24025974025974026
signals	BenchmarkCompileWorkers/sqlite3/p4	B/op	13883628	14037955.5	1.1115790483582577	0.48484848484848486
explicit	BenchmarkCompileFull/raytrace	allocs/op	182	184	1.098901098901095	0.0021645021645021645
explicit	BenchmarkCompileWorkers/sqlite3/p2	allocs/op	2932.5	2964	1.0741687979539671	0.3939393939393939
signals	BenchmarkCompileFullWorkers/many_funcs/p2	B/op	235856	238384	1.0718404450172914	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p2	B/op	235885.5	238409.5	1.070010661952514	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p2	B/op	511212.5	516670	1.0675599677237857	0.0021645021645021645
explicit	BenchmarkCompileWorkers/json-as/p2	B/op	432954.5	437548.5	1.061081476229031	0.0021645021645021645
signals	BenchmarkCompileFull/qoi	allocs/op	191	193	1.0471204188481575	0.0021645021645021645
signals	BenchmarkCompileFull/coremark	allocs/op	192	194	1.041666666666674	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/sqlite3/p2	B/op	14087564	14232101	1.0259900150231704	0.48484848484848486
signals	BenchmarkCompileFullWorkers/json-as/auto	B/op	633337.5	639825	1.0243353662146903	0.0021645021645021645
explicit	BenchmarkCompileFull/qoi	allocs/op	198	200	1.0101010101010166	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/p2	B/op	528040	533353	1.0061737747140365	0.0021645021645021645
explicit	BenchmarkCompileFull/coremark	allocs/op	200	202	1.0000000000000009	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p2	B/op	433410.5	437700	0.9897083711631449	0.0021645021645021645
signals	BenchmarkCompileCompact/crc32	B/op	28604	28884	0.9788840721577374	0.5670995670995671
explicit	BenchmarkCompileFullWorkers/esbuild/p8	B/op	198353336	200281936	0.9723053006781779	0.24025974025974026
explicit	BenchmarkCompileFullWorkers/many_funcs/p8	allocs/op	210	212	0.952380952380949	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/lua/auto	B/op	4682491.5	4726680	0.9436963206446825	0.015151515151515152
explicit	BenchmarkCompileFullWorkers/many_funcs/p4	B/op	284696	287346	0.9308174333323871	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/auto	B/op	284673	287272.5	0.913152986057697	0.0021645021645021645
