bounds	benchmark	unit	base_median	candidate_median	delta_percent	p	base_n	candidate_n	status
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/off	allocs/op	212	210	-0.9433962264150941	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	ns/op	551795.5	331599.5	-39.90536349064101	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	code-B	11197	11197	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	B/op	140463	140376.5	-0.06158205363689939	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as/on	allocs/op	212	210	-0.9433962264150941	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	ns/op	1918144	1070593.5	-44.185968311033996	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	code-B	40722	40722	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	B/op	262806	263174	0.14002724443125114	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/off	allocs/op	242	243	0.4132231404958775	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	ns/op	1802310	1119128	-37.90590963818655	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	code-B	40482	40482	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	B/op	262804.5	263174	0.14059881014214515	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/blake-as-simd/on	allocs/op	242	243	0.4132231404958775	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	ns/op	116714396	83038232	-28.853479222905797	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	code-B	3654889	3654889	0	1	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	B/op	4290296	4299880	0.22338785016231544	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/off	allocs/op	7910	7908	-0.025284450063212116	0.08008658008658008	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	ns/op	122331855.5	76580269	-37.3995688310311	0.0021645021645021645	6	6	paired
explicit	BenchmarkCompileCommuteSelfUpdate/sqlite3/on	code-B	3646361	3646361	0	1	6	6	paired
