goos: linux
goarch: amd64
pkg: wagobench
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics
                                                                 │ /tmp/wago-pr564-HbN430/base-explicit.txt │ /tmp/wago-pr564-HbN430/candidate-explicit.txt │
                                                                 │                  sec/op                  │         sec/op          vs base               │
CompileFullWorkers/sqlite3/auto-8                                                             56.33m ±   3%            27.69m ±   4%  -50.85% (p=0.002 n=6)
CompileFullWorkers/ruby/p1-8                                                                 1106.7m ±   3%            716.5m ±   1%  -35.26% (p=0.002 n=6)
CompileFullWorkers/ruby/p2-8                                                                  761.8m ±   1%            419.8m ±   2%  -44.89% (p=0.002 n=6)
CompileFullWorkers/ruby/p4-8                                                                  593.2m ±   2%            277.6m ±   1%  -53.21% (p=0.002 n=6)
CompileFullWorkers/ruby/p8-8                                                                  511.4m ±   2%            191.0m ±   8%  -62.66% (p=0.002 n=6)
CompileFullWorkers/ruby/auto-8                                                                588.6m ±   4%            274.0m ±   1%  -53.44% (p=0.002 n=6)
CompileFullWorkers/esbuild/p1-8                                                               723.3m ±   2%            490.5m ±   4%  -32.19% (p=0.002 n=6)
CompileFullWorkers/esbuild/p2-8                                                               518.8m ±   2%            298.4m ±   2%  -42.48% (p=0.002 n=6)
CompileFullWorkers/esbuild/p4-8                                                               415.3m ±   2%            202.6m ±   1%  -51.20% (p=0.002 n=6)
CompileFullWorkers/esbuild/p8-8                                                               374.5m ±   3%            149.8m ±   7%  -59.99% (p=0.002 n=6)
CompileFullWorkers/esbuild/auto-8                                                             416.5m ±   1%            202.2m ±   3%  -51.44% (p=0.002 n=6)
