bounds	benchmark	unit	main	fixed	delta_percent	p
signals	BenchmarkCompileFull/dispatch	allocs/op	119	121	1.680672268907557	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/lua/auto	allocs/op	3303	3358	1.6651528913109281	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/lua/p4	allocs/op	3274.5	3328.5	1.6491067338525012	0.0021645021645021645
signals	BenchmarkCompileWorkers/sqlite3/p2	B/op	12186566.5	12384401	1.6233817786166505	0.09307359307359307
signals	BenchmarkCompileFullWorkers/many_funcs/p1	B/op	158883.5	161379	1.5706476758127863	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p1	B/op	158884	161378	1.5696986480702835	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	B/op	158924.5	161418.5	1.5692986292233035	0.0021645021645021645
signals	BenchmarkCompileFull/many_funcs	B/op	159027	161522.5	1.5692303822621323	0.0021645021645021645
explicit	BenchmarkCompileFull/many_funcs	B/op	159029	161521.5	1.567324198731046	0.0021645021645021645
signals	BenchmarkCompileMultiModuleThroughput/many_funcs/p1	B/op	158930.5	161416	1.5638911348041962	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_f32	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_f64	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
signals	BenchmarkCompileFull/crc32	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
signals	BenchmarkCompileFull/isa_f32	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
signals	BenchmarkCompileFull/isa_f64	allocs/op	129	131	1.5503875968992276	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/esbuild/p4	allocs/op	27951.5	28372.5	1.50618034810297	0.5887445887445888
explicit	BenchmarkCompileFull/crc32	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_i64x2	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/many_funcs/auto	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i64x2	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
signals	BenchmarkCompileMultiModuleThroughput/many_funcs/auto	allocs/op	133	135	1.5037593984962516	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_i32	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_i64	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
signals	BenchmarkCompileFull/isa_i32	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
signals	BenchmarkCompileFull/isa_i64	allocs/op	135	137	1.4814814814814836	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p2	B/op	111746936	113378828	1.46034608054042	0.09307359307359307
explicit	BenchmarkCompileFullWorkers/sqlite3/p2	B/op	14535766	14746472	1.4495692899844315	0.24025974025974026
explicit	BenchmarkCompileFull/isa_simd_f64x2	allocs/op	138	140	1.449275362318847	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_f64x2	allocs/op	138	140	1.449275362318847	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_f32x4	allocs/op	139	141	1.4388489208633004	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_f32x4	allocs/op	139	141	1.4388489208633004	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p8	B/op	831752	843448.5	1.4062484971481881	0.025974025974025976
signals	BenchmarkCompileFull/spectralnorm	allocs/op	143	145	1.3986013986013957	0.0021645021645021645
signals	BenchmarkCompileFull/matmul	allocs/op	143	145	1.3986013986013957	0.0021645021645021645
signals	BenchmarkCompileFull/nbody	allocs/op	144	146	1.388888888888884	0.0021645021645021645
explicit	BenchmarkCompileFull/matmul	allocs/op	146	148	1.3698630136986356	0.0021645021645021645
explicit	BenchmarkCompileFull/spectralnorm	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p4	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/auto	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
signals	BenchmarkCompileFull/utf-as	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p4	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/auto	allocs/op	147	149	1.3605442176870763	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/p8	B/op	877744.5	889679.5	1.3597350937545105	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_call	allocs/op	148	150	1.3513513513513598	0.0021645021645021645
signals	BenchmarkCompileFull/lz4	allocs/op	148	150	1.3513513513513598	0.0021645021645021645
signals	BenchmarkCompileFull/isa_call	allocs/op	148	150	1.3513513513513598	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/sqlite3/p8	allocs/op	9793	9925	1.3479015623404367	0.0021645021645021645
signals	BenchmarkCompileFull/sha256	allocs/op	149	151	1.342281879194629	0.0021645021645021645
explicit	BenchmarkCompileFull/nbody	allocs/op	151	153	1.324503311258285	0.0021645021645021645
explicit	BenchmarkCompileWorkers/sqlite3/p2	allocs/op	2910	2948.5	1.3230240549828132	0.17965367965367965
explicit	BenchmarkCompileFull/lz4	allocs/op	153	155	1.3071895424836555	0.0021645021645021645
explicit	BenchmarkCompileFull/sha256	allocs/op	154	156	1.298701298701288	0.0021645021645021645
explicit	BenchmarkCompileFull/utf-as	allocs/op	154	156	1.298701298701288	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p8	B/op	748096	757608.5	1.2715614038840028	0.0021645021645021645
signals	BenchmarkCompileFull/fannkuch	allocs/op	158	160	1.2658227848101333	0.0021645021645021645
explicit	BenchmarkCompileWorkers/ruby/p8	allocs/op	14292	14470.5	1.248950461796805	0.008658008658008658
explicit	BenchmarkCompileFull/fannkuch	allocs/op	163	165	1.2269938650306678	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_i8x16	allocs/op	163	165	1.2269938650306678	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i8x16	allocs/op	163	165	1.2269938650306678	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/p4	B/op	632155	639780	1.2061915194849337	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_i32x4	allocs/op	170	172	1.17647058823529	0.0021645021645021645
signals	BenchmarkCompileFull/quicksort	allocs/op	170	172	1.17647058823529	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i32x4	allocs/op	170	172	1.17647058823529	0.0021645021645021645
signals	BenchmarkValidateWorkers/esbuild/p8	B/op	5435490.5	5498841	1.1654973916337408	0.48484848484848486
signals	BenchmarkCompileMultiModuleThroughput/json-as/auto	B/op	632536	639899	1.164044418025223	0.0021645021645021645
signals	BenchmarkCompileWorkers/json-as/p4	B/op	551131.5	557491	1.1538988426537111	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/sqlite3/p8	allocs/op	9984.5	10099.5	1.1517852671641071	0.0021645021645021645
explicit	BenchmarkCompileFull/quicksort	allocs/op	174	176	1.1494252873563315	0.0021645021645021645
explicit	BenchmarkCompileFull/isa_simd_i16x8	allocs/op	175	177	1.1428571428571344	0.0021645021645021645
signals	BenchmarkCompileFull/raytrace	allocs/op	175	177	1.1428571428571344	0.0021645021645021645
signals	BenchmarkCompileFull/isa_simd_i16x8	allocs/op	175	177	1.1428571428571344	0.0021645021645021645
explicit	BenchmarkCompileWorkers/lua/p4	B/op	4362244.5	4411505.5	1.1292581147159364	0.06493506493506493
signals	BenchmarkCompileWorkers/sqlite3/p4	B/op	14001551	14156855	1.1091914031523986	0.48484848484848486
explicit	BenchmarkCompileWorkers/json-as/p4	B/op	550849.5	556951	1.1076528162411003	0.0021645021645021645
explicit	BenchmarkCompileFull/raytrace	allocs/op	182	184	1.098901098901095	0.0021645021645021645
explicit	BenchmarkCompileWorkers/json-as/p8	B/op	749016	757126.5	1.0828206607068402	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/json-as/auto	B/op	632603	639452	1.0826695415608212	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/p4	B/op	659958	667063	1.0765836613845226	0.0021645021645021645
signals	BenchmarkCompileFullWorkers/many_funcs/p2	B/op	235878	238414.5	1.075344033780179	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/many_funcs/p2	B/op	235860.5	238394.5	1.0743638718649473	0.0021645021645021645
explicit	BenchmarkCompileMultiModuleThroughput/json-as/auto	B/op	712901.5	720536	1.070905307395198	0.0021645021645021645
explicit	BenchmarkCompileWorkers/json-as/p2	B/op	433147.5	437771	1.0674192971216412	0.0021645021645021645
explicit	BenchmarkCompileWorkers/sqlite3/p2	B/op	12174999.5	12303129	1.052398400509169	0.17965367965367965
signals	BenchmarkCompileFull/qoi	allocs/op	191	193	1.0471204188481575	0.0021645021645021645
signals	BenchmarkCompileFull/coremark	allocs/op	192	194	1.041666666666674	0.0021645021645021645
explicit	BenchmarkCompileFullWorkers/json-as/auto	B/op	662720.5	669435	1.0131722196612403	0.015151515151515152
explicit	BenchmarkCompileFull/qoi	allocs/op	198	200	1.0101010101010166	0.0021645021645021645
signals	BenchmarkCompileWorkers/esbuild/p8	allocs/op	25831	26090.5	1.0046068677170839	0.30952380952380953
explicit	BenchmarkCompileFullWorkers/json-as/p2	B/op	527831	533120	1.0020252694517673	0.0021645021645021645
explicit	BenchmarkCompileFull/coremark	allocs/op	200	202	1.0000000000000009	0.0021645021645021645
