goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     17884 ns/op	         2.012 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/guard-fresh-16      	    1000	     16761 ns/op	         2.014 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      3154 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2827 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2287 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2848 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2523 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      3254 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2292 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2278 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2589 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=4096/explicit-reuse-16   	    1000	      2803 ns/op	         0 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     23767 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     23208 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     23780 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     26047 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     24050 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     24725 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     23852 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     23148 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     25323 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-reuse-16     	    1000	     25783 ns/op	        16.00 minor-faults/op	       0 B/op	       0 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-fresh-16     	    1000	     33762 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-fresh-16     	    1000	     33610 ns/op	        17.02 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-fresh-16     	    1000	     33792 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-fresh-16     	    1000	     35683 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-fresh-16     	    1000	     34175 ns/op	        17.01 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-fresh-16     	    1000	     34719 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
BenchmarkMemoryReuseDiagnostic/pages=5/data=65536/guard-fresh-16     	    1000	     34015 ns/op	        17.00 minor-faults/op	      64 B/op	       1 allocs/op
