goos: linux
goarch: amd64
pkg: github.com/wago-org/wago/bench/suite
cpu: AMD Ryzen 7 8845HS w/ Radeon 780M Graphics     
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   17942	      6733 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   18052	      6678 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   16870	      6452 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   18152	      6809 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    8029 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   16544	      6815 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    8860 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   16471	      6579 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    8496 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   17878	      6770 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7985 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   17121	      6343 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/backend/requested=0-16          	   17475	      6344 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	    7944 B/op	      22 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    5610	     18296 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    6516	     19559 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    5983	     19736 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    6654	     19115 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    6590	     19152 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    6596	     21009 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    6525	     19665 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    6356	     19580 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    6518	     18457 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=1-16             	    5821	     19476 ns/op	         9.000 body-bytes	         1.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   18241 B/op	      99 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    3501	     31111 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27045 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    3675	     28607 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27042 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    4521	     30031 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27042 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    3979	     30918 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27044 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    4326	     29352 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27040 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    4225	     30102 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27040 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    3853	     31328 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27042 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    3687	     30377 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27043 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    3535	     29305 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27040 B/op	     116 allocs/op
BenchmarkWorkerLifecycleDiagnostic/tiny/single/full/requested=2-16             	    4088	     32223 ns/op	         9.000 body-bytes	         2.000 effective-workers	         2.000 functions	         6.000 largest-body-bytes	   27043 B/op	     116 allocs/op
