# draglinecompare raw v1
# target compat
# rounds 6
# benchtime 500ms
# filter .*
# tiered false
# benchmark_sha256 4b10e673404f06328b563c34518c9fea485c9718c5c9839cf8b7119b7563553e
# round 1 railshot-first
goos: darwin
goarch: arm64
pkg: wagobench
cpu: Apple M4 Max
BenchmarkRailshotDraglineISAExec/isa_f32.min/railshot-16         	   20570	     29201 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.min/dragline-16         	  164928	      3645 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.max/railshot-16         	   20552	     29217 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.max/dragline-16         	  165073	      3756 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.copysign/railshot-16    	    5137	    116757 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.copysign/dragline-16    	   19950	     30069 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sqrt/railshot-16        	    5450	    109299 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.sqrt/dragline-16        	20036454	        30.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.abs/railshot-16         	   16374	     36608 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.abs/dragline-16         	  120103	      4997 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.neg/railshot-16         	   15998	     38172 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.neg/dragline-16         	  120294	      5010 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.ceil/railshot-16        	   13711	     43723 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.ceil/dragline-16        	  280912	      2136 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.floor/railshot-16       	   13725	     43723 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.floor/dragline-16       	  281731	      2134 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.trunc/railshot-16       	   13698	     43694 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.trunc/dragline-16       	  282726	      2146 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.nearest/railshot-16     	   13724	     43675 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f32.nearest/dragline-16     	  282416	      2151 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.add/railshot-16         	   19822	     30250 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.add/dragline-16         	  129463	      4705 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.sub/railshot-16         	   19813	     30252 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.sub/dragline-16         	  129388	      4668 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.mul/railshot-16         	   13455	     44610 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.mul/dragline-16         	  103143	      5837 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.div/railshot-16         	    4102	    145633 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.div/dragline-16         	   32905	     18250 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.min/railshot-16         	   20564	     29201 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.min/dragline-16         	  164097	      3639 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.max/railshot-16         	   20545	     29232 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.max/dragline-16         	  164743	      3640 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.copysign/railshot-16    	    5110	    116851 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.copysign/dragline-16    	   19960	     30109 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.sqrt/railshot-16        	    4544	    131098 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.sqrt/dragline-16        	20701284	        29.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.abs/railshot-16         	   15996	     37457 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.abs/dragline-16         	  106365	      5646 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.neg/railshot-16         	   16014	     37494 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.neg/dragline-16         	  106338	      5647 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.ceil/railshot-16        	   13719	     43669 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.ceil/dragline-16        	  285356	      2148 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.floor/railshot-16       	   13690	     43705 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.floor/dragline-16       	  285160	      2120 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.trunc/railshot-16       	   13736	     43700 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.trunc/dragline-16       	  282080	      2127 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.nearest/railshot-16     	   13728	     43676 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_f64.nearest/dragline-16     	  285678	      2121 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.eq/railshot-16      	   17112	     35012 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.eq/dragline-16      	   18042	     33222 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.ne/railshot-16      	   17122	     35143 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.ne/dragline-16      	   18062	     33282 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.lt/railshot-16      	   17106	     35137 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.lt/dragline-16      	   18049	     33248 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.gt/railshot-16      	   17118	     35055 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.gt/dragline-16      	   18048	     33304 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.le/railshot-16      	   17139	     35010 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.le/dragline-16      	   18019	     33303 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.ge/railshot-16      	   17092	     35080 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f32.ge/dragline-16      	   18038	     33222 ns/op	       0 B/op	       0 allocs/op
BenchmarkRailshotDraglineISAExec/isa_cmp_f64.eq/railshot-16      	   17108	     35022 ns/op	       0 B/op	       0 allocs/op
